,lam_2
0.31275000000000003,0.6313171265458655
0.3135,0.6436551267157321
0.31425000000000003,0.6478969209085125
0.315,0.6701283361525239
0.31575000000000003,0.6711332129816818
0.3165,0.6645278709413013
0.31725000000000003,0.6568510864761473
0.318,0.6105181496014794
0.31875000000000003,0.6089902589818076
0.3195,0.6656778550980317
0.32025,0.6691210830796065
0.321,0.6941382683356052
0.32175,0.64463803925051
0.3225,0.6997085762015565
0.32325,0.712291526062034
0.324,0.7379925295527883
0.32475,0.7308718163842234
0.3255,0.7275595842523164
0.32625,0.7014058146186744
0.327,0.6943585406046324
0.32775,0.7247511765799565
0.3285,0.7204953219695077
0.32925,0.6924642661827803
0.33,0.6981181465221634
0.33075,0.6412309037793797
0.3315,0.6167168593144748
0.33225,0.690593173363927
0.333,0.674207402297521
0.33375,0.6518314114422571
0.3345,0.7169466345644383
0.33525,0.7141447293029943
0.336,0.6753467462206496
0.33675,0.6829807542376887
0.3375,0.6980529469321154
0.33825,0.6760140519139182
0.339,0.6590206012476669
0.33975,0.7028539568932602
0.3405,0.6571458544864638
0.34125,0.6808763647788888
0.342,0.6785765705865244
0.34275,0.676171076781465
0.3435,0.6505528265327705
0.34425,0.653062046818148
0.34500000000000003,0.6582835538526005
0.34575,0.6366415467487023
0.34650000000000003,0.6333395862360202
0.34725,0.6580679788962045
0.34800000000000003,0.665754584160765
0.34875,0.6674038742123917
0.34950000000000003,0.6776629569480307
0.35025,0.6496429507629453
0.35100000000000003,0.6651868021575776
0.35175,0.6709669731539942
0.3525,0.6595844422228508
0.35325,0.6793660068820241
0.354,0.6243539866014574
0.35475,0.6474242407850902
0.3555,0.6790246715655054
0.35625,0.6827594771710449
0.357,0.6504646717611322
0.35775,0.6531960698248945
0.3585,0.6545340801230807
0.35925,0.6758047896019591
0.36,0.6520244205263093
0.36075,0.6689080608547386
0.3615,0.671458444968647
0.36225,0.6742365387879604
0.363,0.6841005139406259
0.36375,0.6877046409801788
0.3645,0.7012602899931103
0.36525,0.7006728073034781
0.366,0.7039981930093272
0.36675,0.7134526132301797
0.3675,0.7132684788103738
0.36825,0.6990931146190444
0.369,0.7033108064374594
0.36975,0.6868850351617446
0.3705,0.6873454804114224
0.37125,0.6953913883918575
0.372,0.6744722980997176
0.37275,0.6605952674901432
0.3735,0.708175881405864
0.37425,0.6911588664921643
0.375,0.6733660351978618
0.37575000000000003,0.6789706989914358
0.3765,0.6880833788159519
0.37725000000000003,0.6617973068193173
0.378,0.6465643765890684
0.37875000000000003,0.6920393106226433
0.3795,0.6749671738112638
0.38025000000000003,0.6659758362576882
0.381,0.6648044471345642
0.38175000000000003,0.6600529292773243
0.3825,0.6668852641031059
0.38325000000000004,0.6245931324674999
0.384,0.6641652393007693
0.38475,0.690386786823124
0.3855,0.6725941540085117
0.38625,0.6651654980869514
0.387,0.6888348925792664
0.38775,0.6563113345775081
0.3885,0.6627530615159408
0.38925,0.6551445759556037
0.39,0.6524398444802585
0.39075,0.6345065006321158
0.3915,0.6517241145871498
0.39225,0.6483223556710093
0.393,0.6204168099190343
0.39375,0.6664409003169719
0.3945,0.642469505338317
